,Close price,Mean_10days,Std_10days,Var_10days,label_10days
110,0.677392,0.59675,0.047503,0.002257,medium
111,0.701584,0.59675,0.047503,0.002257,medium
112,0.576589,0.59675,0.047503,0.002257,medium
113,0.564493,0.59675,0.047503,0.002257,medium
114,0.568525,0.59675,0.047503,0.002257,medium
115,0.572557,0.59675,0.047503,0.002257,medium
116,0.588686,0.59675,0.047503,0.002257,medium
117,0.584654,0.59675,0.047503,0.002257,medium
118,0.576589,0.59675,0.047503,0.002257,medium
119,0.556429,0.59675,0.047503,0.002257,medium
120,0.540301,0.544736,0.007901,6.2e-05,medium
121,0.540301,0.544736,0.007901,6.2e-05,medium
122,0.546349,0.544736,0.007901,6.2e-05,medium
123,0.556429,0.544736,0.007901,6.2e-05,medium
124,0.554413,0.544736,0.007901,6.2e-05,medium
125,0.556429,0.544736,0.007901,6.2e-05,medium
126,0.544333,0.544736,0.007901,6.2e-05,medium
127,0.536268,0.544736,0.007901,6.2e-05,medium
128,0.536268,0.544736,0.007901,6.2e-05,medium
129,0.536268,0.544736,0.007901,6.2e-05,medium
130,0.540301,0.513487,0.015381,0.000237,medium
131,0.536268,0.513487,0.015381,0.000237,medium
132,0.526188,0.513487,0.015381,0.000237,medium
133,0.495948,0.513487,0.015381,0.000237,medium
134,0.491915,0.513487,0.015381,0.000237,medium
135,0.516108,0.513487,0.015381,0.000237,medium
136,0.51006,0.513487,0.015381,0.000237,medium
137,0.504012,0.513487,0.015381,0.000237,medium
138,0.506028,0.513487,0.015381,0.000237,medium
139,0.508044,0.513487,0.015381,0.000237,medium
140,0.52014,0.544937,0.017203,0.000296,medium
141,0.526188,0.544937,0.017203,0.000296,medium
142,0.576589,0.544937,0.017203,0.000296,medium
143,0.568525,0.544937,0.017203,0.000296,medium
144,0.548365,0.544937,0.017203,0.000296,medium
145,0.528204,0.544937,0.017203,0.000296,medium
146,0.536268,0.544937,0.017203,0.000296,medium
147,0.544333,0.544937,0.017203,0.000296,medium
148,0.552397,0.544937,0.017203,0.000296,medium
149,0.548365,0.544937,0.017203,0.000296,medium
150,0.524172,0.531027,0.007661,5.9e-05,medium
151,0.52014,0.531027,0.007661,5.9e-05,medium
152,0.532236,0.531027,0.007661,5.9e-05,medium
153,0.548365,0.531027,0.007661,5.9e-05,medium
154,0.536268,0.531027,0.007661,5.9e-05,medium
155,0.532236,0.531027,0.007661,5.9e-05,medium
156,0.536268,0.531027,0.007661,5.9e-05,medium
157,0.528204,0.531027,0.007661,5.9e-05,medium
158,0.524172,0.531027,0.007661,5.9e-05,medium
159,0.528204,0.531027,0.007661,5.9e-05,medium
160,0.534252,0.540905,0.021975,0.000483,medium
161,0.532236,0.540905,0.021975,0.000483,medium
